site,thetai,mean,rms
Irnini,45.7496,0.873,0.016
Irnini,45.5381,0.844,0.022
Irnini,45.9392,0.83,0.015
Anala,45.9781,0.845,0.023
Pavlova,45.7741,0.863,0.053
Pavlova,45.9331,0.85,0.017
Pavlova,45.9733,0.864,0.009
Didilia,45.5317,0.867,0.026
Hathor,28.9076,0.812,0.015
Hathor,28.1987,0.84,0.014
Innini,30.3968,0.705,0.045
